,고객ID,Monetary,Recency_R,Frequency_F,Monetary_M,Class
23103,AGPAX50G3TY9FWBI,14379.551503655888,4,5,5,2
23104,AGPBJCXFYM95QX57,10784.663627741917,5,5,5,1
23105,AGPEBFMOPE43XMFZ,3594.887875913972,4,1,2,2
23106,AGPEEMRWO59MXK3A,3458.2679636021335,1,1,1,5
23107,AGPEMXEDGQZKEK2D,3594.887875913972,4,1,2,2
23108,AGPGEWL3QPPG26IA,3458.2679636021335,1,1,1,5
23109,AGPH6AHJID7C7N9K,3594.887875913972,4,1,2,2
23110,AGPHPFOB4K965G2L,7088.654353562005,2,4,4,4
23111,AGPI3Y6YWVUYL1JB,3544.3271767810024,2,1,1,4
23112,AGPJB2W8Y73IQ18J,3594.887875913972,5,1,2,1
23113,AGPJGV35GBF6HLQM,3473.055488248122,1,1,1,5
23114,AGPJMSUPYDLUB2HM,3594.887875913972,4,1,2,2
23115,AGPJMZ1KYYT4DX7V,3544.3271767810024,2,1,1,4
23116,AGPJU7IV9Z9ILFLQ,7088.654353562005,2,4,4,4
23117,AGPKFSG0MWKO183P,14379.551503655888,5,5,5,1
23118,AGPKLLFZSVSTB5ZB,3544.3271767810024,2,1,1,4
23119,AGPP82UHWKZ2755I,6946.110976496244,1,4,4,5
23120,AGPPQ0183TC2NQVJ,7189.775751827944,4,4,4,2
23121,AGPRC7E4OYXI4A6K,3594.887875913972,3,1,2,3
23122,AGPRY1D4RCL3UF7Z,3594.887875913972,4,1,2,2
23123,AGPSEJ98WDJG43ZX,3594.887875913972,5,1,2,1
23124,AGPT69L9114YVQB0,10632.981530343008,2,5,5,4
23125,AGPTFCX3DZSBEX6K,7088.654353562005,2,4,4,4
23126,AGPU7ATNO3UFKNX7,3594.887875913972,2,1,2,4
23127,AGPVYF4M3SO4JAE6,3594.887875913972,3,1,2,3
23128,AGPW0IETGLSGP5I6,3594.887875913972,4,1,2,2
23129,AGPXA655K6CSCRLR,3594.887875913972,4,1,2,2
23130,AGPXAAY2ZEWKTI32,3544.3271767810024,2,1,1,4
23131,AGPYYT9GM1K1AQYV,3594.887875913972,3,1,2,3
23132,AGPZAX6LY2ZOQDK5,3594.887875913972,5,1,2,1
23133,AGQ0PUP1XNV05BR5,7189.775751827944,4,4,4,2
23134,AGQ1CX3RX3G1Y63U,3594.887875913972,4,1,2,2
23135,AGQ1EPPKIZOQJ3HF,3594.887875913972,5,1,2,1
23136,AGQ1OBU5BVBWDR0W,3458.2679636021335,1,1,1,5
23137,AGQ22GJ6AJORKXZV,7189.775751827944,5,4,4,1
23138,AGQ2TMPXG97B0EY7,6909.157286279282,1,4,4,5
